__label__贴片电容 , 	贴片 电容 贴片 电容 贴片 电容 1000 uf 6.3 v 1000 uf 6.3 v 8 * 10.5 400.0 0.278 lc
__label__钽电容 , 	c71 captajb 33 uf 33 uf ± 10% rtaj b bottom capacitor case b 33 uf 6.3 v tantalum tajb336k006r fec 197040 89.75 79 0
__label__电容器阵列与网络 , 	电容器 阵列 网络 w3a45c471kat2a w3a45c471kat2a 电容器 阵列 网络 50v olts 470pf 10% 0612 x7r 4caps
__label__轻触开关 , 	pts645vl832lfs 1.3 n through hole c k
__label__钽电容 , 	9 c96 1 size d condensatore 100 uf 16v tantalio smd ni nm * prime
__label__功率电感 , 	cr6045 4r7n ± 20% 4.7 uh smd 6.0 x6.0 x4.5 mm ceaiya 柯爱亚
__label__采样电阻 , 	asr m 5 0.7 j t 0.0007 ± 5% 贴型 0.7 m ω 贴型 3920 yezhan
__label__采样电阻 , 	1206w3j082lt5e ± 800ppm ° c 0.082 贴型 ± 5% 1 3w 贴型 0.082 ω r082 1206 uni royal
__label__功率电感 , 	scds124t 220m n 2.9 a ± 20% 22uh smd 12.5 x12.5 x4.5 mm chilisin
__label__发光二极管 , 	gh05035a2g 激光 二极管 green laser sharp 夏普
__label__功率电感 , 	cbc3225t150mr 固定 电感器 1210 15uh 253.5 mohms 20% 730ma taiyo
__label__FFCFPC连接器 , 	afa07 s12fca fpc 连接器 1.0 mm 卧式 下接 12p js
__label__缓冲器驱动器接收器收发器 , 	u4 u10 sn74lv07adr hex b uf fer driver oc sn74lv07a sn74lv07adr sn74lv07adr eq0360
__label__螺丝钉接线端子 , 	1 45p 插座 827 smd
__label__功率电感 , 	tmpc0603h 220mg d 22uh ± 20% 2a smd 7.3 x6.6 x2.8 mm tai tech
__label__贴片电阻 , 	151.0 10906220 贴片 电阻 27k 0805 30000.0
__label__贴片电阻 , 	163.0 3.0 r6m3 r6m4 r6m5 26.7 k 1% r0402 res smd 2.94 k 1% 1 16w 0402 lt lf 60
__label__钽电容 , 	cap tant 22 uf 35v smd 55 to 125 ± 10% kemet t495d226k035ate200 cap7343 43 10 n m s u
__label__采样电阻 , 	erj6cwdr0 10v 0.01 ± 75ppm ° c 贴型 贴型 1 2w 0.01 ω r010 ± 0.5% 0805
__label__氧化铌电容 , 	noje687m004rwj noje687m004rwj nd cap niob oxide 680 uf 20% 4v 2917
__label__功率电感 , 	slf12555t 102mr34 pf 固定 电感器 smd 1000uh 0.34 amps
__label__功率电感 , 	cdrr7d45t125np 4r7mc 4.7 uh ± 20% 7d45 sumida
__label__拨码开关 , 	dshp02tsget 1.27 间距 2 位 smd kingtek 广督
__label__功率电感 , 	spoe 0132 l7 3.3 uh 3.3 uh 1.8 a power inductor 3.3 uh 1.8 a 55mr we tpc m series we p n 744042003 inductor2 1 744 042 003 digi key 732 1019 1 nd ja ja we tpc m 500 744042003 500.0 8.7965 800.0 8 14days m
__label__功率电感 , 	pcd0403kt561 ± 10% 560uh smd 4.5 x4x3.2 mm
__label__薄膜电容 , 	lx2a105jd1b0070110060eox ± 5% 40 ℃ 1 uf 105 100v 125 ℃ 1 uf 仅 p5 7x11x6mm through hole p 5mm ste
__label__轻触开关 , 	pts641tk34smtr2lfs 2.5 n smd c k
__label__卡缘连接器 , 	09 18 516 7903 header right angle l latch 16way
__label__贴片高精密-低温漂电阻 , 	tc0310b3001t5e 低温 漂 电阻 3kr 0603 0.1% 10ppm 1 10w 10ppm 贴型 贴型 3k ω 3001 ± 0.1% ± 10ppm ℃ 0603 uni royal
__label__可调电阻电位器 , 	rk08h11100u3 电位计 50 kohms 30% alps 阿尔卑斯
__label__贴片高精密-低温漂电阻 , 	tc0350b200jt5h 20 ω ± 0.1% 50ppm 0603 uni royal
__label__轻触开关 , 	ts 3737 b 轻触 开关 3.7 * 3.7 * . 035 力度 160gf 盘装 xkb
__label__贴片电容 , 	capacitor ceramic np0 47pf 50v 10% 0603 47pf 50v c np0 47pf 50v 10% 0603 c np0 47pf 50v 10% 0603
__label__贴片电容 , 	c22 50v x7r cl10a105kb8nnnc 0603 300.0
__label__FFCFPC连接器 , 	afe03 s23fma 1h fpc 连接器 0.3 mm 翻盖式 下接 23p js
__label__功率电感 , 	aspi 104s 181m t 固定 电感器 180uh 20% 40c 85c abracon
__label__螺丝钉接线端子 , 	1725724 固定 接线 端子 9p 2.54 mm 90deg
__label__薄膜电容 , 	c43 . 1mf 2 50v mylar 1429 2104
__label__压敏电阻 , 	ste20d221k1dq0fqt0r0 20d221k 220v 180v 6kv3ka 198v 220 198 242 10ka 242v 360v through hole p 10mm ste
__label__功率电感 , 	dfp252012tf 100m ± 20% 10uh 1a smd 2.5 x2x1.2 mm tai tech
__label__MOSFET , 	14 4b4801a0 q02 s000103 moset n ch 100v 170ma sot23 3 bss123 7 diodes 场效应管 1126
__label__功率电感 , 	fnr4030s121mt 磁封胶 功率 绕线 电感 120 ± 20% μ h 饱和电流 0.6 a 4.0 4.0 3.0 mm cjiang
__label__薄膜电容 , 	c212j103j4ac000 ± 5% 105 ℃ 630v 10nf 55 ℃ 103 10 through hole p 10mm farad
__label__排针排母 , 	mh254rs 11 05 1000 2.54 mm 间距 圆孔 排针 单排 卧贴 5p p 2.54 mm
__label__DC-DC芯片 , 	升压 ic sot 23 6 lc sot 23 6 u6
__label__发光二极管 , 	hl pcb 2018s11gs9fc 双色 红色 617nm 627nm 黄绿 568nm 578nm 0805 黄绿色 红色 smd 2.0 x1.8 x0.68 mm
__label__贴片电感 , 	102 73a.0253 823j01 电感 82nh ± 5% 1.2 ω 150ma 1.0 * 0.5 * 0.5 mm 0402 1 0402 lqg15hs82nj02d l8 55
__label__采样电阻 , 	asr k 5 4f ± 50ppm ° c ± 1% 4m ω 0.004 5w 贴型 贴型 3920 yezhan
__label__发光二极管 , 	tj l5fytxhtcylc2r6b a5 5mm 圆头 透明 红蓝 双色 through hole togialed
__label__贴片高精密-低温漂电阻 , 	tc0525f1201t5e ± 1% 1 4w 1.2 k 贴型 1.2 k ω ± 25ppm ℃ 贴型 25ppm 0805 uni royal
__label__直插瓷片电容 , 	n06b1b101kn0b0s0b0 ± 10% 100pf 1kv 100pf 101 y5p 1kv through hole p 5mm ste
__label__贴片高精密-低温漂电阻 , 	ptfr0805b240rn9 240 ± 0.1% 贴型 130mw ± 10ppm ℃ ± 10ppm 贴型 240 ω 240r 0805 resistortoday 开步
__label__功率电感 , 	smnr5030 5r6n ± 30% 5.6 uh 5.0 * 5.0 * 3.0 sxn
__label__FFCFPC连接器 , 	ffc 连接线 30p 间距 0.5 mm 5cm lianxian 连线
__label__功率电感 , 	fnr6020s3r3nt 磁封胶 功率 绕线 电感 3.3 ± 30% μ h 饱和电流 3.7 a 6.0 6.0 2.0 mm cjiang
__label__NTC热敏电阻 , 	ntc ert j0es104j p13580ct nd therm ntc 100kohm 4330k 0402
__label__薄膜电容 , 	3b2a223jd5b0072065025es0 ± 5% 100v 22nf 223 仅 p5 7.5 x6.5 x2.5 mm through hole p 5mm ste
__label__轻触开关 , 	k2 1103dp k4sw 04 12 * 12mm hro
__label__安规电容 , 	jd222m2gy5vs0le 2.2 nf ± 20% 2200pf 222 400vac 10 y1 through hole p 10mm jec 智中
__label__贴片电解电容 , 	铝质 电解 电容器 smd 10 uf 16v 贴片 铝 电解电容 capae530x550l 2 200 c542 c544
__label__采样电阻 , 	lr2010 21r020f2 合金 电阻 ± 1% 0.020 ω 0.02 贴型 贴型 1w ± 25ppm ° c 2010 ralec
__label__钽电容 , 	75 14 capt d tant d 22 uf 25v c3 c29 32 c187 c298 c310 c594 595 c597 600 10074 5600
__label__功率电感 , 	smsd0810 101m 100uh ± 20% smd 12.9 x9.4 x11.43 mm sxn
__label__直插电解电容 , 	铝电解 电容器 带 引线 插件 电容 470 uf 50v ￠ 10 c4 c6 c21 1500
__label__轻触开关 , 	k2 8816sp a6sw 01 50 硅胶 按键 700g smd hro
__label__排针排母 , 	210 92 03gb04 h 2.5 黑金 116 61 30 lf s t ph2.54 2 * 03p nk3 4 through hole pinrex
__label__NTC热敏电阻 , 	ntc ntcs0402e3683jht bc2339tr nd thermistor ntc 68kohm 3910k 0402
__label__排阻 , 	resistors resistor networks t791612 rnlb08g0102b0e 1k0 8p4r 2% rnlb sil resistor network royal ohm 2570
__label__功率电感 , 	yp0301 330m 2.888 ω ± 20% 33uh 0.24 a smd 3.5 x3.0 x1.1 mm yjycoin 益嘉源
__label__功率电感 , 	nrs8040t470mjgk 固定 电感器 8040 47uh 182mohms 20% tol 1500ma taiyo
__label__无源晶体振荡器 , 	晶振 crystal 38.4 mhz 10pf 10ppm hdd10rsx 10 38.400 mhz osc4 2520h0r6 38.4 mhz 10pf 10ppm rakon 101
__label__无源晶体振荡器 , 	y1 8mhz abm3 abracon abm3 8.000 mhz d2y t crystal 8mhz 18pf smd 535 10630 1 nd
__label__拨动开关 , 	ta 3539s a1 滑动 开关 7.15 * 4.0 * 1.5 mm 贴片 正拨 六脚 二档 smd 7.15 x4.0 x1.5 mm yuandi 元迪
__label__功率电感 , 	mpa5040s680m 0.8 a ± 20% 68uh smd 5x5x4.1 mm coilmx 迈翔
__label__连接器附件套件 , 	端子 splice 1200 2600cma reel of 25000
__label__贴片高精密-低温漂电阻 , 	ar06btdv4703 ± 0.1% 470k ω 4703 1 4w 贴型 ± 50ppm ℃ 贴型 470k 1206
__label__贴片电容 , 	9.0 5.0 c1m6 c2m6 c3m6 c9m6 c10m6 22 uf 25v c0805 c smd cer 22 uf 10% 25v x5r 0805 t1.25 mm lt lf 100
__label__功率电感 , 	lb2518t4r7m 固定 电感器 1007 4.7 uh 169mohms 20% tol 240ma taiyo
__label__采样电阻 , 	sy1206ajr003 0.003 ω r003 ± 5% 1206 sanyear 叁 叶源
__label__数字三极管 , 	bc846b t r trans npn gp 100ma 65v sot23 sot 23 18
__label__轻触开关 , 	kan0642 0801c1 l42 贴片 smd gangyuan 港源
__label__PTC热敏电阻 , 	ptc b59060a0000a010 495 76327 nd thermistor ptc disc
__label__贴片高精密-低温漂电阻 , 	ptfr0603b47r0p9 ± 0.1% 1 10w 超高 稳定 电阻 47 47 ω 47r0 贴型 ± 25ppm ± 25ppm ℃ 贴型 0603 resistortoday 开步
__label__贴片高精密-低温漂电阻 , 	arg05ftc68r1 ± 25ppm 68.1 贴型 1 8w 68.1 ω 68r1 贴型 ± 1% 0805
__label__USB连接器 , 	贴片 usb 连接器 zx62 b 5pa 33 贴片 usb 连接器 zx62 b 5pa 34 y
__label__PTC热敏电阻 , 	ptc prf15bb102rb6rc 490 13397 2 nd thermistor ptc 1k ohm 50% 0402
__label__FFCFPC连接器 , 	ffc 连接线 10p 间距 0.5 mm 25cm lianxian 连线
__label__采样电阻 , 	lr1206 21r006f4 0.006 ± 1% ± 75ppm ° c 6m ω 贴型 1w 合金 电阻 贴型 1206 ralec
__label__采样电阻 , 	rl1206fr 7w0r043l 电流 传感 电阻器 smd
__label__PTC热敏电阻 , 	ptc ptcsl03t121dt1e bc2968tr nd ptc thermistor disc 4.0 mm dia x 3.0 mm w
__label__无源晶体振荡器 , 	78 晶振 25mhz ± 20ppm 20pf 3225 cry d3225 y5 1 25mhz 20ppm 20pf 3225 1
__label__贴片电阻 , 	r24 res 270k 1% 0.063 w 0402 rc0402fr 07270kl rohm mcr01mzpf2703 digi key 311 270klrct nd 0.0027 digi key rhm270klct nd 0.00544
__label__压敏电阻 , 	ste07d271k1bn0fsb0r0 270v 455v 270 243 297 243v 品 297v 225v 1.2 ka 07d271k through hole p 5mm ste
__label__MOSFET , 	aon7403 dfn3x3 8l 贴片 场效应管 aos 302
__label__发光二极管 , 	fm z3535rgba sh 全彩 贴片 led smd 3.5 x3.5 mm nationstar
__label__直插电解电容 , 	1 c2 22 µ 22 µ 400 v high voltage al electrolytic 14469 m ω 20 mm x 16 mm united chemi con ekmx400vb22rm16x20ll
__label__压敏电阻 , 	511kd07 561v 845v 415v 5 10v 459v 510 459 561 1.2 ka through hole brightking
__label__直插电解电容 , 	铝电解 电容器 带 引线 直插 铝 电解电容 egpd500ell182mm25h c1 c79 dxl 18x25 2 40
__label__功率电感 , 	mpit4012 3r3m lf isat 1.95 a ± 20% 3.3 uh irms 1.7 a smd 4x4mm microgate
__label__贴片电容 , 	100 uf 10v b c3 3.5 2.8 mm
__label__功率电感 , 	swpa5040s2r2nt 片式 电感 2.2 μ h ± 30% dcr 0.019 ω 5.0 5.0 mm sunlord
__label__行程开关 , 	spvq380400 开关 0.1 amp 12 volts 0.5 n alps 阿尔卑斯
__label__高频电感 , 	smd 高频 电感 2.7 nh film type rf ind 2.7 nh ± 0.1 nh 0402 l0402 lqg15hs2n7s02 l302 l307 2.0 10
__label__直插瓷片电容 , 	n06s1b560kn0b0s0n0 sl 5 ± 10% 56pf 1kv 1kv 56pf 560 through hole p 5mm ste
__label__贴片高精密-低温漂电阻 , 	57 xxx xxxxx xx res 16 ohm 1 16w ± 0.5% npb 0603 thin film 12 r13 r15 r16 r17 r23 r35 r87 r92 r93 r99 r103 r109 susumu rr0816q 160 d
__label__贴片电感 , 	l1 inc srn3012ta 100m 10 µ h unshielded wirewound inductor 890ma 245 mohm 1212
__label__贴片高精密-低温漂电阻 , 	arg05ftc16r9n ± 25ppm ℃ ± 1% 16.9 ω 16r9 1 8w 贴型 16.9 贴型 0805
__label__功率电感 , 	fnr4020s150mt 磁封胶 功率 绕线 电感 15 ± 20% μ h 饱和电流 1.5 a 4.0 4.0 2.0 mm cjiang
__label__排阻 , 	resistor 10k ohm network . box 65 13 43
__label__拨动开关 , 	ss 12d07 l5 b 2 档 过 手感 极佳 抗腐蚀 24 5mm 拨动 开关 through hole xkb
__label__安装型大容量电容 , 	470f 400v 35x35mm 105c 3000h
__label__绕线电阻 , 	绕线 电阻 ewwr0008j5k00t9 5k ω 5k00 ± 5% 8w
__label__超级电容器 , 	超级 电容器 法拉 电容 1.5 5.5 v 法拉 电容 ￠ 19 c 1 c1
__label__线性稳压芯片LDO , 	25 andard regulator neg 5v 1.5 a 3 pin 3 tab to 220 tube l7905c v 1000 50 tube
__label__直插独石电容 , 	c8 100pf capacitor american symbol 594 k101j15c0gf5tl2 c us050 024x044
__label__TVS二极管(瞬态电压抑制二极管) , 	smf05ct1g on semiconductor tvs diode 5vwm 12.5 vc sc70 6 sc70 6
__label__无源晶体振荡器 , 	贴片 晶体振荡器 无源 703514000200.0 晶振 25.00075 mhz 20ppm 20pf 5x3.2 mm 4p smd mercury mercury mj 25.00075 20 20 30y 4.0 400.0
__label__轻触开关 , 	1185se 轻触 开关 按小龟 3 * 4 risheng 昇
__label__贴片高精密-低温漂电阻 , 	arg05ftc0210n 21 ± 25ppm ℃ ± 1% 21 ω 21r0 1 8w 贴型 贴型 0805
__label__金属膜电阻 , 	resistors metal film t626420 pprr 193 15398 3r9 1w 5% pr01 mf resistor pprr 193 15398 pilkor 11000
__label__电源连接器 , 	amphenol slppb50bso3eh surlok plus 8.0 mm right angle pl
__label__轻触开关 , 	pts641sm25smtr2lfs 1.6 n smd c k
__label__贴片高精密-低温漂电阻 , 	tc0325b5102t5e 51k ± 25ppm ℃ ± 0.1% 51k ω 1 6w 25ppm 贴型 贴型 0603 uni royal
__label__电源连接器 , 	amphenol slppb35bsb2eh surlok plus 8.0 mm right angle pl
__label__发光二极管 , 	tj s1706sw6tglccw a5 0603 灯珠 侧发 白光 0603 togialed
__label__发光二极管 , 	61.06 . p12y3t00 贴片 led 贴片 led rohm sml p12y3t r 1006 0402 400
__label__MOSFET , 	133687 1 . mx . rlml2502trpbf 贴片 mosfet irlml2502trpbf sot 23 301 y
__label__采样电阻 , 	ste1206m1w0r016f 16m ω r016 ± 1% 贴型 1w ± 50ppm ° c 贴型 0.016 1206 walter 华德
__label__功率电感 , 	aspi 7318 1r0m t 固定 电感器 1.0 uh 20% 55c 125c abracon
__label__模拟开关芯片 , 	u3 ic switch quad spdt vdd 1.8 v 5.5 v bw 160mhz 20 lfcsp 4mm x 4mm adg788bcpz adg788 adg788
__label__绕线电阻 , 	绕线 电阻 ewwr0008j470rt9 470 ω 470r ± 5% 8w
__label__功率电感 , 	cr3015 6r8m 6.8 uh ± 20% smd 3.0 x3.0 x1.5 mm ceaiya 柯爱亚
__label__贴片电感 , 	37 1 c539 5.6 nh dni 402 mlg1005s5n6st install
__label__压敏电阻 , 	01.03 . 00049 压敏 电阻 vcug080050l1dp varistors 0805 5vdc 1element 01.03 . 80019 vcug080050l1dp 1000
__label__功率电感 , 	slw5040s330mst 33uh ± 20% 1.20 a smd 5x5x4mm sunltech
__label__肖特基二极管 , 	d9 10 bas40 04 diode schottky dual 40v sot23 on semiconductor bas40 04lt1g bas40 04lt1gosct nd 0.66
__label__贴片高精密-低温漂电阻 , 	ar03btdx5101 ± 0.1% 贴型 5.1 k 1 10w 5.1 k ω 5101 ± 0.1% ± 50ppm ℃ 0603
__label__金属膜电阻 , 	1 r411 11.8 k resistor 0402 11.8 k ohm 1% 100ppm 0.063 w metal film crcw040211k8fk dale
__label__贴片电阻 , 	42 贴片 薄膜 电阻 r smd 33r ± 5% ac0402jr 0733r0l 108409
__label__发光二极管 , 	tj l5fytxhtcylcrgb a5 三 色光 rgb through hole togialed
__label__采样电阻 , 	cr2010jr010e04z ± 5% 0.01 3 4w 0.01 ω r01 贴型 贴型 ± 1800ppm ° c 2010 ever ohms 天二
__label__可调电阻电位器 , 	25k linear taper 25k linear taper . parts express . pe showdetl . cfm partnumber 023 630
__label__功率电感 , 	ynr4018 15om ± 20% 15uh 0.65 a smd 4.0 x4.0 x1.8 mm yjycoin 益嘉源
__label__采样电阻 , 	sr731ettpr270f 厚膜 电阻器 smd 0.27 ohms 1% 250 ppm koa
__label__排针排母 , 	mh254v 11 04n2 1000 单排 直插 2.54 mm 间距 圆孔 排针 堵孔 4p p 2.54 mm
__label__压敏电阻 , 	ste20d331k1dn0fqb0r0 5 50v 297v 275v 20d331k 330v 363v 6kv3ka 10ka 330 297 363 through hole ste
__label__薄膜电容 , 	3 b32529c105k189 he011024 cap mkt rd 1 uf 63v 10t p5 c150 c151 c152 c153 c154 5 pc 1000 1000 0 0 b32529c105k189 2 3w 0 0 0 0
__label__贴片电容 , 	235.0 11003094 贴片 陶瓷 电容 0.22 uf 50v 0603 30000.0
__label__功率电感 , 	scd0705t 150m n 15uh ± 20% smd 7.8 x7x5mm chilisin
__label__压敏电阻 , 	ezjp1v120ka 12v 6.7 v 0603
__label__功率电感 , 	mpit5040 2r2m lf ± 20% 2.2 uh smd microgate
__label__发光二极管 , 	cxa1304 0000 000c00b430g 大功率 led 白色 white 410lm
__label__采样电阻 , 	t125 12 3 5% 2.5 mm * 12mm * 3mm 跳线 康铜 跳线 电阻 yezhan
__label__功率电感 , 	fnr8065s103mt 磁封胶 功率 绕线 电感 10000 ± 20% μ h 饱和电流 0.23 a 8.0 8.0 6.5 mm cjiang
__label__采样电阻 , 	ylr12 3 40f w 3w 0.04 ω ± 50ppm ° c ± 1% 贴型 贴型 0.04 2512 yezhan
__label__发光二极管 , 	ncd0603c2 黄绿 0603 0603 nationstar
__label__贴片电阻 , 	1 300 r58 贴片 电阻 562 ω ± 1% 0402 贴片 电阻 562 ω ± 1%
__label__功率电感 , 	smsd1306 101mt 功率 电感 100uh ± 20% 1306 sxn
__label__高频电感 , 	高频 电感 cih05t6n2snc fixed inductor 6.2 nh ± 0.3 nh 300ma 10000
__label__功率电感 , 	abg03a15n4r7 4.7 uh ± 30% smd 3x3x1.5 mm coilank 驰兴
__label__贴片电容 , 	贴片 电容 104 805 c7 c8 2 40
__label__线性稳压芯片LDO , 	ich lm2595 adjustable switch reg to 220 5 lm2595t adj nd bent and staggered or straight leads
__label__排针排母 , 	77311 418 00lf 集管 线 壳 str sr tmt hdr tin . 45in length amphenol
__label__直插电解电容 , 	capacitors al electrolytic e612226 52465 10 uf 63v 2mm 5x11 105c el rh 52465 nover 1
__label__功率电感 , 	hppc08050b r22m q8bdf 220nh 33a ± 20% smd 8.1 x8.7 x5mm chilisin
__label__功率电感 , 	slw5020s3r3mst 3.3 uh ± 20% 2.40 a smd 5x5x2mm sunltech
__label__云母电容 , 	capacitor 2500 pf silver mica radial lead rm 214 13 40
__label__贴片电阻 , 	rs0 11 generic resistor 33 805 12
__label__采样电阻 , 	ma251220fr070fz 1% 2w 贴型 贴型 0.07 合金 电阻 ± 50ppm ° c 0.07 ω ± 1% 2512 ever ohms 天二
__label__功率电感 , 	yxnae5040 4r7n 4.7 uh ± 30% smd 5x5x4mm yu xin 宇鑫
__label__通用二极管 , 	in5822 diode sma 1
__label__带灯开关 , 	c3012 tw b v 蓝灯 . through hole chau hua
__label__功率电感 , 	fixed ind 1.5 uh 4.5 a 42 mohm smd srp4020ta 1r5m
__label__功率电感 , 	slw3015p4r7mst 4.7 uh ± 20% smd 3.0 x3.0 x1.5 mm sunltech
__label__功率电感 , 	tmpa1004s 2r2mn d 2.2 uh ± 20% smd 11x10x3.8 mm tai tech
__label__贴片高精密-低温漂电阻 , 	arg06dtc1001 贴型 ± 25ppm 1k ω 1001 贴型 ± 0.5% 1 4w 1k 1206
__label__发光二极管 , 	204 10sugc s400 a4 led 通孔 super green
__label__功率电感 , 	mwsa0503s 3r3mt 3.3 uh ± 20% smd 5.2 x5.4 x3.0 mm sunlord
__label__贴片高精密-低温漂电阻 , 	tc0350b165jt5h 50ppm ± 0.1% 16.5 ω 0603 uni royal
__label__压接端子 , 	155914 1 端子 line spl . conn.250
__label__船型开关 , 	mr1 138 c6n bbaa through hole hongju 宏聚
__label__功率电感 , 	mcw 0630 1r0 s1 1uh ± 20% smd 6.95 x6.6 x3mm hk hotline 合泰盟方
__label__拨码开关 , 	da 12rp through hole hro
__label__轻触开关 , 	k2 1102dp x4sw 04 6 * 6mm hro
__label__碳膜电阻 , 	rr15 4.7 k ohm 1 6 watt 5% carbon film resistor 1 4.7 kebk nd
__label__轻触开关 , 	tme 534w q t r 5.2 * 5.2 * 1.5 mm 贴片 260gf 克力 俗称 4 * 4 贴片 轻触 开关 smd diptronics
__label__钽电容 , 	c3 . 1 uf 10 volt tantalum capacitor 1 33486 0.35 jameco c1v5
__label__采样电阻 , 	sr73w2htter220f 0.22 ω r220 0.22 贴型 ± 100ppm ° c 贴型 3 4w ± 1% 2010 koa
__label__轻触开关 , 	pts645vh39 2lfs through hole c k
__label__直插瓷片电容 , 	ck45 e3ad103mypna ± 20% 10nf 10nf 103 1kv 1kv through hole
__label__直插瓷片电容 , 	mlcc 引线 sr211a220jar cap . cer . 22pf 100v 10% cog npo
__label__功率电感 , 	mhcd201610a 1r0m a8lw 2.7 a ± 20% 1uh smd 2.0 x1.6 x1.0 mm chilisin
__label__贴片高精密-低温漂电阻 , 	arg03ftc6043 1 10w ± 25ppm ℃ 604k ω 6043 贴型 604k 贴型 ± 1% 0603
__label__功率电感 , 	ydrh105r 150m 15uh 3.4 a ± 20% smd 10.1 x10.1 x5mm yjycoin 益嘉源
__label__贴片高精密-低温漂电阻 , 	era2aeb132x ± 0.1% 1.3 k ω 132 1.3 k ± 25ppm ℃ 贴型 63mw 贴型 0402
__label__功率电感 , 	mapm0420f 100m lf 1.5 a ± 20% 10uh 200m ω smd microgate
__label__发光二极管 , 	19 217 t1d cq2r2ty 3t 纯白色 0603 0.4 mm 0603
__label__薄膜电容 , 	b32529c0474j289 ± 5% 125 ℃ mkt 55 ℃ 470nf 63v 5 through hole p 5mm
__label__采样电阻 , 	2.0 0.02 1% r176 r177 r0603 1.0 2.0 0.0 40000.0
__label__贴片电阻 , 	47k resistor r2 0402 r2 219.535 616.551 270.0 top
__label__按键开关 , 	k8 7071d l1 高品质 自锁 按键 hro
__label__功率电感 , 	slw201610pr68mst 0.68 uh 2.5 a ± 20% smd 2x1.6 x1mm sunltech
__label__轻触开关 , 	tl1015af160qg e switch tactile switches 4mm x 3mm smt gull wing top act 4mm x 3mm x 5mm
__label__DC-DC芯片 , 	u2 1589 1120 1 nd mp2456gj p ic reg buck adj 0.5 a 6ssop
__label__钽电容 , 	c117 10 uf tantalum capacitor tcap 10 uf 10% 10v smd1206 a taja106k010rnj 9g45 stc3216 18 a
__label__排阻 , 	24 4520340 res . array 10k * 4 4x1mm 5% 1 16w exb 28v103jx 374
__label__直插瓷片电容 , 	ct7 y5y5p1e101ksew ± 10% 100pf 10 100pf 101 400vac through hole fenghua
__label__贴片电阻 , 	82 61a.0603 1743f0 厚膜 电阻 rc 1743 0603 1% 1 10w 100ppm 1 0603 rc0603fr 07174kl r392 55
__label__排针排母 , 	mf254rs 11 02 0743 2.54 mm 间距 圆孔 排母 单排 卧贴 2p p 2.54 mm
__label__贴片电阻 , 	100 301008200 1 10500 res 1r 5% 1 10w 0603 rc0603jr 071rl
